Name, Network[1], Anonymous P2P, Link system compatibility, Price, Platform, License, Programming language, Free Spyware-Adware, Latest release version, Extra information
I2Phex, I2P (protocol Gnutella), Yes, magnet, Free, GNU  macOS  Windows, GPL, Java, Yes, 2011, Need I2P to run.
iMule, I2P (protocol Kad network), Yes, ed2k  magnet, Free, GNU  macOS  Windows, GPL, C++, Yes, 2013  2.3.3.3 (June 1  2016 (2016-06-01)) [±], needs I2P to run
Jumpshare, Jumpshare, No, No, Free or US$9.99/month, Windows  macOS, Proprietary, Various, Yes, 2015, Real-time file sharing with built-in utilities for screenshots  screencasts  notes  and voice clips
KCeasy, Ares  Gnutella  FastTrack  OpenFT, No, No, Free, Windows, GPL, C++  Object Pascal (Delphi), Yes, 2008, Uses integrated giFT file sharing daemon as back-end.
KGet, BitTorrent; HTTP/FTP download, No, ?, Free, part of KDE on Windows, GPL, C++, ?, 2012, ?
MLDonkey, BitTorrent  eDonkey  FastTrack  (Gnutella  Gnutella2)  Kad; HTTP/FTP download, No, ed2k  magnet  sig2dat, Free, GNU  macOS  Windows, GPL, OCaml, Yes, 2014  3.1.6 (January 22  2017; 2 years ago (2017-01-22)[12]) [±], P2P application  telnet / web-interface / GUI interface  complete and complex remote usage. Sancho GUI makes automatic SSH tunnels.
MUTE, MUTE, Yes, No, Donation, GNU  macOS  Windows, GPL, C++, Yes, 2009, 
Nodezilla, Private, Yes, No, Free, GNU  Windows, core proprietary  GUI GPL, Java, Yes, 2010, Most is proprietary  GUI is GPL.
Perfect Dark, Perfect Dark, Yes, No, Free, Windows, Proprietary, C++, Yes, 2015, Boards. Auto update.
Retroshare, Retroshare, Yes, Own format, Free, Windows  GNU  macOS, GPL, C++, Yes, 2018, Uses PGP for friend authentication. Decentralized F2F network type.
Robert, I2P (protocol BitTorrent), Yes, magnet, Free, GNU  macOS  Windows, GPL, Python, Yes, 2012, needs I2P to run
Share, Share, Yes, No, Free, Windows, Proprietary, Object Pascal (Delphi), Yes, 2006, Anonymous developer; tries to be Winny successor
Shareaza, eDonkey  BitTorrent  Gnutella  Gnutella2  Direct Connect; HTTP/FTP download, No, ed2k  magnet  Piolet/MP2P  gnutella, Free, Windows, GPL, C++, Yes, 2017  2.7.10.2 (September 18  2017; 2 years ago (2017-09-18)[13]) [±], Uses a powerful files library; maintained by volunteer group
StealthNet, RShare, Yes, No, Free, GNU  macOS  Windows, GPL, C#, Yes, 2011, Evolution of the RShare client with many functions.
Soulseek, Soulseek, No, No, Free  donations for privileges, Windows  Mac  Linux, Proprietary, ?, Yes, 2015  SoulseekQt build 2017.2.20 (February 20  2017; 2 years ago (2017-02-20)) [±], Folder downloads  browse users with folder trees  no multi-source downloads
Tribler, BitTorrent and its own, Yes, magnet, Free, Windows  GNU  macOS, GNU LGPL v2.1+[14], Python  C++, Yes, 2019  7.3.0 (August 27  2019; 3 months ago (2019-08-27)) [±][15], Unlike most other torrent clients  Tribler is decentralized (as well as anonymous) and does not rely on any trackers or any other indexing service to discover content.[16] Also features a built-in video streamer.
Vuze (formerly Azureus), BitTorrent and I2P, No (except when using I2P), magnet, Free, GNU  macOS  Windows, GPL, Java, No, 2016  5.7.6.0 (November 2  2017; 2 years ago (2017-11-02)) [±][17], 
Warez P2P, iP2P DHT, No, No, Free or US$19.99, Windows, Proprietary, ?, Yes, 2007, Developer claims Warez v3.0 beta is malware-free
WinMX, WinMX Peer Network (independent  now user-operated)  OpenNAP  chatrooms supported, No, No, Free, Windows, Proprietary, C++, Yes, 2004, Official development has ceased due to RIAA coercion. Versions 3.53  3.54 beta 4 and older are available from 3rd parties.
Winny, Winny, Yes, No, Free, Windows, Proprietary, C++, Yes, 2003, 
WireShare, Gnutella  BitTorrent, No, magnet, Free, GNU  macOS  Windows, GPL, Java, Yes, 2016, Forked from Limewire pro
Name, Network, Anonymous P2P, Link system compatibility, Price, Platform, License, Programming language, Free Spyware-Adware, Last release year, Extra information
